SupplierID,NumberOfCustomers,AverageShareofBusiness,AverageSizeofSuppliers,AverageSizeofCustomers,CAGRBusiness,TechnologyInvestment,CountryGDP,CountryGDPGrowth,IndexOfPoliticalTurmoil,IndexOfSocialTurmoil,NumberofProducts,NumberofNewProducts,ProfitabilityLast5Years,Bankruptcy
1018,17,12.8,863.97,1022.01,20.58,8.5,192.8152163,3.01,0.642492173,0.423399517,3,3,1.46,0
1019,5,68.94,429.27,1963.34,8.09,26.68,375.9225051,3.34,0.651004683,0.807984264,14,9,11.43,0
1020,4,56.38,731.15,1989.33,-1.46,0.14,266.7915185,6.56,0.407127321,0.596433824,8,5,11.18,0
1021,15,13.46,159.89,170.83,0.39,7.24,997.9883057,-4.65,0.64731239,0.33603308,18,0,0.29,1
1022,2,74.33,29.76,1255.87,6.38,3.02,646.2421899,4.61,0.343657279,0.153893534,7,2,7.78,0
1023,7,13.2,815.59,592.04,10.17,41.16,849.6946482,0,0.508218054,0.103423423,8,5,12.21,0
1024,15,56.08,615.99,1611.95,-1.15,28.08,583.2120907,-3.26,0.607105988,0.797370986,13,10,0.88,0
1025,7,64.08,941.43,1879.24,24.73,14.76,934.2264131,6.63,0.279619956,0.310417588,17,5,6.03,0
1026,5,55.01,224.37,1066.94,2.56,12.82,914.8780209,-3.67,0.12514254,0.387771999,16,7,9.15,0
1027,12,41.9,389.1,458.71,-7.85,4.29,754.6506101,2.21,0.800180648,0.66712318,3,2,-8.09,1
1028,20,40.93,539.76,183.28,0.52,36.26,890.9636091,4.83,0.144018411,0.240871668,3,2,-1.55,0
1029,4,74.9,405.21,747.89,12.1,11.3,650.8033904,5.21,0.086663041,0.477854532,3,3,22.42,0
1030,13,65.83,278.62,342.71,11.69,5.07,884.0288888,-2.92,0.732242542,0.52274434,20,14,-3.58,0
1031,8,54.11,278.45,213.25,-3.79,8.67,296.2684164,2.58,0.779410779,0.776137183,19,0,23.97,0
1032,14,51.54,223.5,522.54,13.2,49.72,464.8085438,6.08,0.933220675,0.936629676,19,19,24.91,0
1033,7,59.35,322.87,447.84,-9.07,22.3,997.0579766,0.69,0.185241935,0.105122679,5,3,-9.54,0
1034,14,33.35,714.68,1652.12,-7.91,18.64,87.0356989,3.5,0.179902324,0.621606003,7,2,6.69,0
1035,19,68.55,534.89,1350.67,6.54,31.1,820.3235602,-4.13,0.403960097,0.189712476,6,0,10.15,0
1036,2,13.14,547.89,1048.77,15.37,48.2,83.19752474,-3.96,0.22634996,0.512365049,2,2,9.21,0
1037,20,46.34,453.34,1527.09,21.54,6.53,430.075122,6.98,0.631157133,0.497132623,3,1,-7.88,0
1038,18,41.92,556.27,1088.09,22.4,25.86,417.3739007,3.55,0.633204535,0.425225697,19,6,16.5,0
1039,12,22.72,775.84,1947.35,24.51,29.88,194.8225531,1.46,0.041100444,0.5430118,20,7,-9.53,0
1040,6,73.86,408.82,1112.98,6.53,37.95,313.2648464,-4.5,0.65225408,0.635929604,19,15,11.47,0
1041,19,50.81,372.31,509.02,22.21,25.19,244.3852021,2.59,0.816641406,0.628411564,20,17,4.51,0
1042,8,39.39,705.73,1337.84,17.54,22.63,964.4017082,5.22,0.984458624,0.651781604,18,14,26.45,0
1043,10,52.35,635.46,1599.37,5.52,5.51,256.4711239,0.21,0.812655023,0.634853046,12,3,27.25,0
1044,13,25.92,130.59,1325.52,7.2,25,356.3810041,6.02,0.254641252,0.199842529,1,1,12.95,0
1045,11,46.67,540.04,1496.57,14.39,34.79,967.0214582,-3.59,0.336334202,0.922738015,15,10,23.32,0
1046,12,66.7,50.59,1825.42,-10.66,36.88,901.52477,6.09,0.163510107,0.463288323,11,2,12.48,0
1047,12,59.43,69.5,1094.86,22.7,12.98,793.3737949,7,0.520423188,0.688831678,19,12,-10.82,0
1048,11,68.56,26.01,937.53,-11.84,46.03,982.2834754,-0.51,0.264824341,0.59732514,18,0,13.82,0
1049,16,63.09,783.54,492.57,-6.1,12.94,708.4433718,2.41,0.510863156,0.596593749,5,0,28.55,0
1050,20,55.22,522.12,1960.06,20.55,15.72,629.0519317,-0.5,0.214287963,0.763311434,2,1,23.44,0
1051,20,62.37,719.56,297.36,-10.81,23.07,533.9952065,2,0.318939896,0.768164144,6,4,14.05,0
1052,16,17.68,13.75,1513.54,3.35,1.22,737.4939253,3.01,0.472743635,0.206590479,18,7,3.5,0
1053,10,22.06,107.13,1919.66,-13.22,30.55,928.2676215,0.15,0.869204053,0.662482419,17,14,26.75,0
1054,1,43.47,925.33,751.88,11.24,39.48,118.3175267,6.46,0.212815152,0.973090664,2,2,17.08,0
1055,5,40.21,743.06,835.13,-0.01,15.96,695.3435967,-3.82,0.680226762,0.473122292,2,2,2.83,0
1056,4,59.39,278.23,271.59,3.05,32.6,141.5670869,1.09,0.532755329,0.157376848,12,11,3.58,0
1057,20,43.59,458.81,1021.02,-8.05,32.6,277.9124248,-0.74,0.249344458,0.413402611,10,2,25.78,0
1058,1,22.54,831.64,1648.32,-8.85,23.02,652.6090785,4.3,0.174018165,0.351340838,17,11,25.33,0
1059,4,61.87,425.87,531.73,-2.63,38.26,846.8837291,-4.88,0.751225802,0.531060205,6,6,-2.23,1
1060,1,41.55,186.3,143.45,20.35,19.62,701.5836063,-1.48,0.009779266,0.597449124,12,1,9.44,0
1061,8,56.02,601.2,825.43,-1.93,3.78,433.909237,5.23,0.131854347,0.441137002,13,2,22.08,0
1062,15,57.66,19.72,1618.15,1.8,28.29,120.4350903,4.06,0.258966166,0.791067283,19,12,-7.71,0
1063,2,53.75,807.43,649.14,21.07,7.89,533.4861242,-3.96,0.47336726,0.462995935,7,5,21.64,0
1064,1,66.12,827.89,1740.72,-10.56,8.15,158.4756006,3.28,0.302934701,0.407808633,6,1,-4.57,0
1065,20,67.71,312.31,926.83,24.14,4.26,377.2473201,-0.27,0.871653011,0.629843863,2,0,12.81,0
1066,9,38.7,464.4,441.14,-3.77,14.27,237.7804045,4.92,0.846328148,0.049546759,7,3,-9.75,1
1067,19,62.73,566.74,128.7,24.94,46.75,263.1481583,-4.23,0.275062279,0.08848053,12,2,27.76,0
1068,6,36.73,772.82,1320.47,3.17,43.81,730.354275,2.01,0.504139891,0.025747203,1,1,-8.6,0
1069,5,59.5,249.96,851.99,-1.14,24.37,261.1245143,1.99,0.446908428,0.63076412,18,17,3.04,0
1070,7,22.79,287.34,1627.35,16.93,35.52,628.0355033,-1.32,0.030091783,0.957711079,5,2,-8.91,0
1071,12,29.72,520.12,1209.93,7.68,40.76,732.0372063,-0.71,0.322583631,0.254563343,2,0,20.84,0
1072,18,64.69,205.91,1527.03,0.03,5.7,210.0046995,5.09,0.320241608,0.726919838,6,0,23.11,0
1073,8,72.68,313.24,1000.42,2.29,7.12,437.2995007,-5.63,0.643929986,0.655245757,7,5,10.08,0
1074,8,31.77,22.38,239.25,9.57,12.14,296.5900812,6.97,0.37728155,0.344280135,1,0,-1.93,0
1075,14,15.52,866.63,1271.95,-9.13,45.32,606.805759,-2.35,0.46173222,0.03762445,18,5,-4.49,0
1076,11,16.85,305.39,1405.41,21.76,28.07,497.2925736,-3.09,0.01477377,0.734673342,5,1,16.87,0
1077,17,51.58,576.92,1226.8,8.76,25.71,576.0736063,-0.25,0.647162342,0.81403839,8,7,1.9,0
1078,19,77.3,494.56,332.04,3.7,41.5,826.3791198,-2.68,0.343310904,0.633113791,14,4,17.18,0
1079,8,54.08,425.14,888.3,17.88,39.96,267.7497586,-2.21,0.127195751,0.944702793,6,3,12.71,0
1080,11,58.69,900.3,160.22,24.8,40.63,851.3552156,2.99,0.91200352,0.566870503,4,4,-8.61,0
1081,12,34.33,219.43,180.26,24.01,5.62,168.1616311,-1.54,0.2082134,0.852594659,5,4,23.63,0
1082,11,77.7,949.34,1277.63,-4.96,12.16,867.550554,-1.05,0.173312867,0.083571188,17,10,20.34,0
1083,7,29.15,929.43,960.68,14.16,30.31,867.3325918,3.36,0.69352615,0.764986396,17,1,12.07,1
1084,20,66.51,316.72,897.38,-3.42,34.59,84.99836719,0.08,0.117922244,0.892407832,13,0,-6.84,0
1085,15,77.27,570.14,626.56,21.81,18.51,622.7185494,5.63,0.19334332,0.358383494,10,9,12.65,0
1086,12,57.41,142.13,660.75,19.52,34.99,380.8258294,-1.9,0.353920889,0.648931998,9,8,-7.96,0
1087,7,74.97,149.47,1660.55,-4.31,20.35,605.1535044,-5.46,0.990131754,0.820565293,18,11,-9.28,0
1088,17,18.64,456.64,322.07,9.5,27.58,447.4280078,-3.73,0.199969461,0.901123446,13,5,-8.9,0
1089,7,34.42,827.47,1165.88,-7.86,35.41,251.326964,5.08,0.820717148,0.887169935,1,0,1.2,1
1090,11,13.05,277.39,1820.15,5.43,1.94,422.7507198,-2.24,0.5433477,0.053946921,2,0,-10.43,0
1091,4,68.83,258.7,1286.56,12.23,20.81,381.9436483,5.08,0.832702078,0.746422489,18,18,-1.02,0
1092,2,61.02,408.35,1561.58,-1.55,24.95,845.4673089,3.09,0.273147205,0.919708502,14,12,15.71,0
1093,20,74.17,829.03,1834.43,21.75,21.1,330.1783865,0.47,0.81564484,0.276231467,9,4,6.41,0
1094,9,15.3,875.33,976.44,-3.8,42.62,830.8979732,-1.16,0.084615738,0.438352214,16,12,-7.61,0
1095,14,18.83,904.12,583.25,-1.1,5.68,323.7188185,-2.74,0.581543791,0.699111984,20,17,16.91,0
1096,20,49.05,356.51,1372.74,-2.68,24.78,814.5279411,0.81,0.942897184,0.653089559,5,3,4.98,0
1097,19,78.11,227.46,1713,11.27,30.24,734.1590689,2.91,0.75671673,0.415140153,12,7,22.22,0
1098,1,26.31,553.77,1715.98,13,28.55,45.09538288,-0.01,0.489553394,0.450322361,11,0,-1.21,0
1099,15,42.33,14.52,518.22,7.13,16.01,250.9404286,-5.01,0.775853267,0.09733446,2,2,27.42,0
1100,13,68.16,697.18,346.46,9.05,24.99,264.1934059,-3.2,0.63849005,0.612175466,17,11,-6.89,0
1101,13,45.42,171.92,1572.87,9.39,13.44,348.3981079,2.5,0.826779647,0.100973838,13,6,4.66,0
1102,4,13.95,272.23,1732.86,13.67,24.32,480.1922437,6.52,0.770466159,0.148817393,14,14,18.32,0
1103,13,35.22,397.61,246.83,-8.3,22.48,685.2123766,-5.23,0.89729143,0.727480561,17,6,5.68,1
1104,9,28.54,146.73,1377.16,1.39,8.27,94.00786544,-0.71,0.36427186,0.145362846,20,8,13.07,0
1105,9,25.14,519,1250.93,-8.69,36.8,692.1030148,3.49,0.224188633,0.47629679,12,3,5.49,0
1106,5,30.42,470.8,408.68,22.25,22.63,842.3995561,4.28,0.743124947,0.503923816,14,3,-7.69,1
1107,8,17.98,213.19,908.82,6.35,6.07,542.2580484,-5.97,0.429608901,0.311448042,11,4,18.33,0
1108,8,26.19,577.52,1263.34,13.81,3.89,413.4287959,4.32,0.309036026,0.230513864,17,15,9.27,0
1109,14,38.39,645.67,142.3,-4.07,10.15,546.3488946,6.89,0.614108744,0.101531658,2,2,-9.64,1
1110,15,35.34,200.85,867.27,-10.59,34.21,816.5943708,-4.96,0.24548975,0.420469186,13,0,-9.34,1
1111,20,66.3,341.69,1946.69,5.3,10.4,294.4864159,4.25,0.757244126,0.853279604,9,9,22.14,0
1112,1,37.5,262.17,1579.32,-3.98,34.69,696.2977455,-0.31,0.672172049,0.617872109,16,2,-2.07,0
1113,20,16.03,351.02,783.18,3.11,22.86,544.2227432,-3.63,0.66087988,0.653655591,3,2,-6.86,1
1114,2,19.32,173.01,941.39,12.48,12.33,98.98705006,-1.96,0.161881332,0.523951304,8,6,28.59,0
1115,16,70.2,57.19,1240.76,6.17,13.84,374.3147107,2.99,0.514186158,0.353857405,15,7,-5.46,0
1116,9,28.06,634.48,303.2,-5.4,30.33,774.0566286,3.21,0.726496469,0.225482189,18,1,21.92,0
1117,13,66.01,261.73,844.93,4.95,13.84,678.4565105,0.01,0.998944533,0.886612156,16,10,-9.52,1
1118,13,56.11,485.11,1516.58,-7.3,23.69,84.92792045,1.43,0.697343854,0.880919296,11,6,12.69,0
1119,2,66.92,202.13,369.89,4.39,31.52,65.32686574,0.58,0.723223573,0.386057172,19,3,-4.18,0
1120,4,44.07,923.2,962.89,-6.95,34.55,526.9897053,5.74,0.426792673,0.716411334,1,0,6.93,0
1121,4,33.43,436.48,528.6,-14.85,0.68,367.9084723,-5.31,0.107937131,0.55689288,13,0,4.14,1
1122,14,21.14,775.18,1226.74,-1.76,22.74,66.57367918,1.81,0.174625289,0.599164617,15,5,0.68,0
1123,9,13.97,673.08,1341.44,8.92,11.3,776.0619571,0.07,0.272525481,0.949910793,17,2,7.54,0
1124,9,71.75,414.21,1230.46,24.48,7.37,676.3343347,0.72,0.447256047,0.965035695,15,15,14.32,0
1125,1,49.93,110.67,1345.87,18.55,2.46,240.9176252,-2.15,0.041305533,0.22577184,16,0,10.25,0
1126,12,34.11,642.46,1543.84,-4.21,43.13,407.8886956,4.68,0.273699728,0.985303756,10,5,1.72,0
1127,1,60.31,663.37,633,19.88,49.04,69.89239131,0.37,0.537207796,0.367154364,19,14,-0.51,0
1128,12,23.62,336.78,806.58,14.51,24.73,769.7261129,-2.73,0.957202569,0.750091547,5,2,-6.2,1
1129,3,61.07,792.09,233.7,22.7,36,531.0627753,6.57,0.559163331,0.986214413,3,3,8.56,0
1130,7,11.04,598.48,1048.8,-12.38,19.03,730.5030656,1.18,0.261232228,0.889644584,20,18,3.38,0
1131,11,47.17,373.14,521.32,16.85,29.52,453.7556612,6.44,0.478062705,0.594163296,10,5,7.19,0
1132,20,51.69,35,1421.23,-4.42,25.61,996.6825658,-2.78,0.334055475,0.373010589,9,6,20.36,0
1133,10,15.74,633.88,1331.75,-4.7,25.67,352.9330063,-5.8,0.329407558,0.30391844,19,3,2.54,0
1134,13,22.79,460.48,1829.36,-9.47,5.84,487.9298919,4.01,0.542555956,0.121730312,12,0,25.49,0
1135,7,42,56.48,1989.1,14.37,27.98,234.4882607,1.21,0.604108215,0.971376442,4,0,23.37,0
1136,1,22.88,628.52,644.88,13.41,2.8,294.0487978,5.46,0.950470712,0.489217567,12,4,0.86,1
1137,2,12.13,766.75,1471.69,-14.34,37.78,5.11601024,3.57,0.742665762,0.759668898,2,2,24.67,1
1138,11,43.87,576.4,1708.38,10.35,21.4,638.6168148,1.61,0.712849578,0.728093865,15,8,-5.43,0
1139,1,62.33,827.95,1189.82,11.49,12.37,739.1278187,6.32,0.790333818,0.267965393,19,1,-7.73,0
1140,16,44.74,475.06,1745.67,-11.32,34.13,680.7341395,5.55,0.054800072,0.170009626,4,3,28.57,0
1141,13,22.94,626,1264.26,-2.5,23.38,519.9491434,5.06,0.890362172,0.333677845,18,10,-5.04,1
1142,20,15.43,637.42,586.09,14.78,5.33,408.131316,2.09,0.312363435,0.886650142,13,5,10.92,0
1143,5,48.9,133.71,425.25,-4.78,20.37,205.0486381,6.56,0.772120815,0.50814623,6,5,6.88,0
1144,11,15.21,895.05,1018.21,12.64,28.78,991.7543421,-1.82,0.384885828,0.825826505,11,7,-4.96,0
1145,15,72.71,577.07,279.11,21.32,9.72,446.5165695,1.15,0.023846832,0.202322829,20,3,19.69,0
1146,20,32.06,273.51,1649.91,20.98,4.18,500.8545813,6.17,0.821977937,0.122198795,5,2,25.93,0
1147,7,71.54,358.25,1647.49,13.73,46.57,462.3838528,-4.2,0.212778721,0.753740961,17,14,28.45,0
1148,18,51.5,371.07,741.42,8.31,34.95,850.8524431,4.14,0.465947254,0.791070353,11,11,-0.51,0
1149,7,62.44,102.24,591.97,-2.28,12.54,979.9844672,-4.76,0.313787625,0.270036854,17,12,11.88,0
1150,9,53.66,527.28,733.33,3.38,8.14,529.7157378,3.32,0.010024416,0.14846319,7,7,9.56,0
1151,13,74.89,540.31,1439.5,12.72,48.87,837.7919336,-2.75,0.077632167,0.490823855,5,0,8.56,0
1152,18,32.74,358.2,1926.7,-14.37,35.5,280.7733398,1.24,0.444902283,0.870782665,18,14,-2.89,0
1153,8,59.67,125.02,549.23,-0.08,36.07,790.3830075,3.99,0.2391321,0.966552865,17,1,15.58,0
1154,7,35.1,443.97,645.89,-7.1,49.45,436.4429813,6.37,0.000152672,0.26700483,19,10,-10.74,0
1155,7,66.74,653.63,687.27,1.12,45.02,617.6354893,-5.58,0.084732279,0.804744208,11,9,-0.01,0
1156,10,51.57,896.51,212.9,0.29,49.38,169.6891494,-4.94,0.650385885,0.728708636,6,0,-3.5,1
1157,9,63.14,273.25,1236.38,-5.74,13.58,889.7101325,0.58,0.755335173,0.941102561,13,7,17.92,0
1158,20,52.14,237.81,550.36,8.67,3.67,38.86690275,-4.45,0.904579313,0.896636843,11,0,24.04,0
1159,2,72.39,265.44,1914.46,0.43,29.4,486.6041975,5.44,0.851656194,0.791572939,6,4,26.57,0
1160,16,54.37,236.59,1061.93,20.06,13.25,78.96903419,5.59,0.638173931,0.022955072,7,7,21.97,0
1161,6,70.63,48.98,1088.35,16.81,48.06,225.2110218,-1.1,0.524627055,0.679752356,14,11,27.78,0
1162,16,60.91,108.15,903,23.16,40.12,254.1954955,-5.13,0.968108824,0.604016842,19,19,18.02,0
1163,15,54.14,462.25,1565.09,-10.13,10.08,125.1975348,-5.02,0.266866308,0.96588166,9,0,26.6,0
1164,8,28.05,22.98,1730.12,11.97,42.15,421.0567102,3.15,0.540657848,0.364099917,10,7,4.37,0
1165,9,38.82,100.79,1952.1,11.08,0.27,523.0144483,-1.61,0.724249229,0.879897979,2,2,3.05,0
1166,1,21.25,785.16,535.78,11.38,6.97,265.9411178,3.9,0.420768813,0.116146331,20,7,28.18,0
1167,20,53.34,729.31,1435.2,-0.82,2.1,756.3349855,2.02,0.289282401,0.856505272,8,5,0.89,0
1168,2,64.14,701.47,783.46,23.94,21.2,738.1161475,-4.53,0.175338676,0.142863656,3,3,22.44,0
1169,9,58.04,629.5,1676.87,13.65,26.78,117.2702406,5.68,0.534564151,0.608535403,1,1,4.8,0
1170,4,27.33,40.82,496.71,20.35,36.22,656.8300887,6.29,0.824503394,0.845218459,5,3,-0.48,1
1171,10,16.07,672.08,1728.39,22.37,34.26,694.7365541,-0.56,0.446075622,0.009129861,19,7,-7.22,0
1172,11,30.02,704.76,1850.59,6.41,49.72,326.2555166,-1.72,0.455655052,0.044370667,17,16,11.27,0
1173,3,10.49,482.99,1860.69,2.6,6.01,334.7745867,-4.29,0.719113587,0.910125442,1,0,22.1,1
1174,20,22.1,323.34,1598.02,-9.61,31.42,568.378368,1.38,0.407928974,0.114848014,1,1,18.76,0
1175,17,38.08,668.95,421.64,-11.13,43.77,875.6988606,-1.58,0.351265281,0.497131097,3,3,-1.69,0
1176,18,74.33,755.05,1883.1,11.26,15.54,152.2193703,-2.93,0.324158983,0.239742499,13,13,25.25,0
1177,4,35.94,190.08,1714.68,-11.94,13.36,859.969253,-0.63,0.231623612,0.123845756,15,8,25.77,0
1178,8,47.96,695.15,241.13,-11.66,5.49,73.50438294,-1.58,0.40359494,0.377684419,7,4,27.78,0
1179,18,70.12,864.53,120.91,7.12,44.43,18.36508606,6.08,0.48523128,0.15168424,16,7,-2.09,0
1180,11,13.12,365.53,1163.66,18.66,27.66,698.3212047,-3.72,0.662795359,0.90389891,3,3,10.76,0
1181,2,31.19,235.12,629.45,15.39,21.74,153.3598877,-5.88,0.921731951,0.901889376,4,1,-2.12,1
1182,9,25.58,331.11,1248.46,24.16,5.56,139.4239543,5.92,0.434809939,0.8129523,9,3,3.17,0
1183,19,51.19,463.7,491.32,2,32.87,702.0311278,-3.66,0.004260148,0.291188779,18,6,-4.77,0
1184,11,19.69,544.83,1506.33,18.78,32.37,957.7666891,-3.91,0.547089876,0.383184282,11,4,8.35,0
1185,1,13.16,736.38,1173.86,7.45,47.26,4.612245841,-4.38,0.1336342,0.650317043,1,1,15.86,0
1186,19,68.84,438.21,764.94,19.74,6.04,979.4158363,2.49,0.515694442,0.672270768,15,15,12.25,0
1187,4,51.59,434.83,286.8,4.36,37.02,547.5669848,-0.8,0.013436638,0.526666215,6,0,26.22,0
1188,9,36.97,586.81,1805.3,18.84,40.75,351.068902,0.46,0.977733055,0.249827145,8,4,-1.98,0
1189,3,67.8,424.44,159.27,10.86,45.51,354.9876026,-5.64,0.341983264,0.852299111,6,0,25.86,0
1190,7,29.07,543.93,682.4,5.92,6.41,22.49886021,-0.32,0.286315696,0.309324332,5,1,15.06,0
1191,11,35.55,935.41,1915.6,0.24,11.3,457.3022704,0.33,0.229732316,0.857750421,17,12,-7.91,0
1192,13,28.59,658.2,1651.05,-3.65,30.69,273.6307219,0.79,0.926387467,0.059393806,4,1,-8.09,1
1193,13,39.02,692.99,168.77,-6.08,47.67,502.8243834,1.8,0.998754225,0.378802314,6,0,26.99,0
1194,7,39.04,250.69,981.48,14.03,30.5,419.7744874,-0.01,0.86633587,0.407065283,20,14,17.35,0
1195,2,16.04,545.21,287.83,22.43,32.22,376.4041592,-1.78,0.494277719,0.92412748,10,2,26.7,0
1196,4,19.13,392.64,283.65,17.4,2.98,125.9049153,-1.66,0.624298014,0.463654103,5,0,-1.94,0
1197,16,37.11,526.44,1914.45,20.05,33.16,139.2164612,-0.85,0.756735586,0.159303948,3,1,14.4,0
1198,14,58.57,405.68,935.12,-1.95,8.14,301.2779755,6.75,0.646677279,0.706769578,14,14,28.15,0
1199,16,29.2,178.52,456.89,10.11,25.19,900.3936099,3.55,0.985073499,0.798316137,11,9,-4.81,1
1200,3,31.6,506.06,1060.75,20.22,29.94,297.7157193,4.29,0.472791875,0.747162502,7,2,-8.78,0
1201,3,36.75,699.27,1210.71,-4.42,6.61,290.541803,0.88,0.870318315,0.333956715,3,1,-8.27,1
1202,18,72.46,636.13,1771.92,1.8,6.92,143.8210942,2.69,0.338944432,0.956894446,16,10,18.16,0
1203,15,16.34,120.73,1562.92,19.58,40.29,56.88170606,6.69,0.627248239,0.480524261,18,12,17.24,0
1204,8,16.36,373.69,622.02,-10.29,38.07,439.7611528,1.62,0.920790911,0.250653326,8,1,24.85,1
1205,2,39.08,142.84,945.09,-13.52,16.99,980.635967,-2.28,0.257985019,0.254472938,18,9,15.29,0
1206,14,16.82,380.99,635.84,-12.09,18.32,725.9296639,-3.36,0.609190578,0.673511861,3,0,22.11,1
1207,14,73.86,189.04,1396.57,17.47,38.35,926.4788297,-5.42,0.149268486,0.199318342,13,7,15.13,0
1208,2,68.71,146.38,1907.97,15.62,23.48,3.705322734,6.53,0.860940402,0.018540983,13,6,28.84,0
1209,17,31.66,32.13,527.79,-6.96,6.69,189.5332947,-0.53,0.130676081,0.478985499,4,1,3.98,0
1210,3,20.18,237.44,1558.21,9.99,48.57,269.7306855,-0.86,0.532446513,0.434841429,20,2,3.13,0
1211,4,24.99,580.58,1023.02,-8.07,32.17,875.8621441,1.62,0.673114136,0.788496197,20,0,26.46,0
1212,10,19.83,604.72,716.78,-4.98,9.03,345.2398838,-5.02,0.78968553,0.88282993,4,3,22.49,1
1213,9,49.79,920.53,1934.56,13.87,18.02,763.4470525,2.72,0.301905108,0.389319996,11,5,21.78,0
1214,3,37.53,606.5,1480.21,18.44,39.49,255.9933303,-1.29,0.285070679,0.724108367,20,14,-5.71,0
1215,8,43.7,941.29,786.32,22.99,45.82,753.5998778,4.79,0.197326626,0.891340071,3,2,6.09,0
1216,9,33.58,841.12,978.3,-6.71,46.96,403.2831038,3.81,0.378272317,0.871435791,8,3,11.59,0
1217,20,73.72,594.45,1777.37,-5.62,12.36,17.30613633,3.81,0.462813457,0.710355778,6,5,1.54,0
1218,9,48.68,90.66,660.79,-6.91,32.17,646.5851239,5.29,0.997036812,0.094659712,3,2,14.83,1
1219,15,12.69,10.21,1696.09,-7.25,9.58,618.3707797,-2.54,0.189876465,0.722996893,1,1,-10.68,0
1220,7,66.8,546.34,596.52,18.06,41.96,735.5008063,6.6,0.870046641,0.425358635,17,4,0.74,0
1221,1,17.6,375.3,1330.49,24.77,47.06,327.4177126,2.6,0.879124528,0.843844339,6,3,10.05,1
1222,16,45.95,941.54,1792.6,-1.49,22.07,556.3456655,2.89,0.746746881,0.8142991,8,0,17.93,0
1223,15,34.77,842.24,1146.72,-8.72,35.92,666.2260019,3.93,0.146319967,0.576818796,5,2,8.92,0
1224,3,13.46,558.72,1853.65,21.56,34.78,475.0311821,6.95,0.652543747,0.793786978,6,6,27.75,0
1225,3,51.55,707.02,727.48,3.98,34.06,440.4428388,4.32,0.731439527,0.264989085,2,1,-8.12,0
1226,10,30.47,622,495.21,-8.24,29.11,192.3662755,-4.83,0.19070882,0.999678319,11,1,20.05,0
1227,6,23.46,275.02,1960.05,14.21,35.95,601.9625944,4.24,0.208733759,0.945404786,6,5,19.74,0
1228,5,40.47,97.5,1679,-8.36,4.21,255.251645,0.65,0.33713607,0.022749455,7,3,-10.62,0
1229,16,47.08,492.48,976.3,-0.79,36.35,630.3810432,0.04,0.955640099,0.052041832,1,0,24.11,0
1230,1,63.49,378.89,1021.02,5.18,4.32,960.2992149,-3.74,0.97413137,0.758696281,17,15,4.87,1
1231,8,50.5,264.79,1397.24,19.06,26.26,589.9463608,6.43,0.231348385,0.371253255,5,5,27.1,0
1232,19,47.79,896.36,1147.56,-10.57,33.65,801.0593602,-2.2,0.693860355,0.429763728,17,12,25.37,0
1233,10,66.82,386.83,1474.03,-5.04,36.15,563.8461034,-3.57,0.079406879,0.181596722,7,1,4.84,0
